date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:47	107/107	---M-Z	200	added ('OK')	text/plain	etag:%22543965537cf000565b8cfceb4ee1d9d0%22	https://goalz-template.framer.website/robots.txt		(from )
09:39:48	543521/543521	---M-Z	200	added ('OK')	text/html	etag:%22d790d297a1b1327bbb39e63766054c4d%22	https://goalz-template.framer.website/	C:/My%20Web%20Sites/web/goalz-template.framer.website/index.html	(from )
09:39:48	261/261	---MC-	200	added ('OK')	image/png	etag:%229c8c0870c8f6a2a8ce22dbd7383b8b0a%22	https://framerusercontent.com/images/FVXnx1MyypEnHWfcaBaxa82mVyE.png	C:/My%20Web%20Sites/web/framerusercontent.com/images/FVXnx1MyypEnHWfcaBaxa82mVyE.png	(from https://goalz-template.framer.website/)
09:39:48	256/256	---MC-	200	added ('OK')	image/png	etag:%22d0950c04ce6b74099fb42d85de6dc2cc%22	https://framerusercontent.com/images/eO5OYl1Qgu8NbRgrLcpWszV1I.png	C:/My%20Web%20Sites/web/framerusercontent.com/images/eO5OYl1Qgu8NbRgrLcpWszV1I.png	(from https://goalz-template.framer.website/)
09:39:49	789/789	---MC-	200	added ('OK')	image/png	etag:%2200f94fc7c2b68879cce816b5668c98fe%22	https://framerusercontent.com/images/LY822SzND38Nbdb1kwazvsDJuuc.png	C:/My%20Web%20Sites/web/framerusercontent.com/images/LY822SzND38Nbdb1kwazvsDJuuc.png	(from https://goalz-template.framer.website/)
09:39:50	497058/497058	---M-Z	200	added ('OK')	text/html	etag:%229a47cf1561c66a78238fb48e3af484fa%22	https://goalz-template.framer.website/about-us	C:/My%20Web%20Sites/web/goalz-template.framer.website/about-us.html	(from https://goalz-template.framer.website/)
09:39:51	387727/387727	---M-Z	200	added ('OK')	text/html	etag:%229c0154c536f643469b249e61756c30cb%22	https://goalz-template.framer.website/programs	C:/My%20Web%20Sites/web/goalz-template.framer.website/programs.html	(from https://goalz-template.framer.website/)
09:39:52	358427/358427	---M-Z	200	added ('OK')	text/html	etag:%2215e82ba7d477544e682450bb5dcdc288%22	https://goalz-template.framer.website/team	C:/My%20Web%20Sites/web/goalz-template.framer.website/team.html	(from https://goalz-template.framer.website/)
09:39:53	423312/423312	---M-Z	200	added ('OK')	text/html	etag:%22b6ad9b7c0929351eb614b358b3d22beb%22	https://goalz-template.framer.website/contact-us	C:/My%20Web%20Sites/web/goalz-template.framer.website/contact-us.html	(from https://goalz-template.framer.website/)
09:39:53	35875/35875	---MC-	200	added ('OK')	image/png	etag:%22a208690a71ad39aef329c92e04e6311f%22	https://framerusercontent.com/images/KtjuG7yx533JoFQZtxBo4WkJdg.png?width=1024&height=1024	C:/My%20Web%20Sites/web/framerusercontent.com/images/KtjuG7yx533JoFQZtxBo4WkJdg90ee.png	(from https://goalz-template.framer.website/)
09:39:53	1150234/1150234	---MC-	200	added ('OK')	image/png	etag:%22238f874acc47861df8acf6f3a3d06987%22	https://framerusercontent.com/images/JTP1mpqMm8vZFaojxLCWMxRl4ZU.png?width=2880&height=1918	C:/My%20Web%20Sites/web/framerusercontent.com/images/JTP1mpqMm8vZFaojxLCWMxRl4ZUfa56.png	(from https://goalz-template.framer.website/)
09:39:54	337537/337537	---M-Z	200	added ('OK')	text/html	etag:%227d76149201bdc5ab515cbec0b10b0a3a%22	https://goalz-template.framer.website/register	C:/My%20Web%20Sites/web/goalz-template.framer.website/register.html	(from https://goalz-template.framer.website/)
09:39:54	296509/296509	---MC-	200	added ('OK')	image/png	etag:%22ac045ee7ca727f120c649554e2184f36%22	https://framerusercontent.com/images/BRURdPk6opNMOGJ9C5nBbhk59k8.png?width=960&height=1200	C:/My%20Web%20Sites/web/framerusercontent.com/images/BRURdPk6opNMOGJ9C5nBbhk59k875d1.png	(from https://goalz-template.framer.website/)
09:39:54	369816/369816	---MC-	200	added ('OK')	image/png	etag:%22480c3eef24303ad2a2437a595d28b144%22	https://framerusercontent.com/images/SjOa29HhKYQsao9Q8Z0BNCSlGos.png?width=673&height=1200	C:/My%20Web%20Sites/web/framerusercontent.com/images/SjOa29HhKYQsao9Q8Z0BNCSlGos7657.png	(from https://goalz-template.framer.website/)
09:39:55	266434/266434	---MC-	200	added ('OK')	image/png	etag:%228f32046e051136b61d18afba84a50c71%22	https://framerusercontent.com/images/8hoSXWYKbogOvxsFQ1wK6ABTU4.png?width=1024&height=1536	C:/My%20Web%20Sites/web/framerusercontent.com/images/8hoSXWYKbogOvxsFQ1wK6ABTU4bd31.png	(from https://goalz-template.framer.website/)
09:39:55	378626/378626	---MC-	200	added ('OK')	image/png	etag:%22468611d88317346a9b35b144e10bef0b%22	https://framerusercontent.com/images/U89IWm1vgQK6XyRKZGhaHdkPUo.png?width=1146&height=1200	C:/My%20Web%20Sites/web/framerusercontent.com/images/U89IWm1vgQK6XyRKZGhaHdkPUo4262.png	(from https://goalz-template.framer.website/)
09:39:55	443251/443251	---MC-	200	added ('OK')	image/jpeg	etag:%222d9cde21c69feb68678699424e65e040%22	https://framerusercontent.com/images/MuMXBCqV225kClRHE1ytmTqxo.jpg?width=1999&height=1333	C:/My%20Web%20Sites/web/framerusercontent.com/images/MuMXBCqV225kClRHE1ytmTqxo0f35.jpg	(from https://goalz-template.framer.website/)
